CCLE Cell Line Name,Primary Cell Line Name,Compound,Target,IC50 (uM)
LS123_LARGE_INTESTINE,LS123,Nilotinib,ABL,8.0
LS513_LARGE_INTESTINE,LS513,Nilotinib,ABL,8.0
LU99_LUNG,LU99,Nilotinib,ABL,8.0
LUDLU1_LUNG,LUDLU-1,Nilotinib,ABL,4.289455414
M059J,M059J,Nilotinib,ABL,8.0
MALME3M_SKIN,Malme-3M,Nilotinib,ABL,4.411684036
MB157_BREAST,MB 157,Nilotinib,ABL,3.224921905
MC116_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MC116,Nilotinib,ABL,8.0
MCAS_OVARY,MCAS,Nilotinib,ABL,8.0
MCF7_BREAST,MCF7,Nilotinib,ABL,8.0
MDAMB157_BREAST,MDA-MB-157,Nilotinib,ABL,8.0
MDAMB175VII_BREAST,MDA-MB-175-VII,Nilotinib,ABL,8.0
MDAMB415_BREAST,MDA-MB-415,Nilotinib,ABL,3.974702597
MDAMB435S_SKIN,MDA-MB-435S,Nilotinib,ABL,6.421111584
MDAMB436_BREAST,MDA-MB-436,Nilotinib,ABL,8.0
MDAMB453_BREAST,MDA-MB-453,Nilotinib,ABL,8.0
MDAMB468_BREAST,MDA-MB-468,Nilotinib,ABL,4.322463036
MEC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MEC-1,Nilotinib,ABL,6.008265495
MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MEG-01,Nilotinib,ABL,0.069269069
MELHO_SKIN,MEL-HO,Nilotinib,ABL,7.266346931
MESSA_SOFT_TISSUE,MES-SA,Nilotinib,ABL,8.0
MEWO_SKIN,MeWo,Nilotinib,ABL,8.0
MFE280_ENDOMETRIUM,MFE-280,Nilotinib,ABL,8.0
MG63_BONE,MG-63,Nilotinib,ABL,8.0
MHHES1_BONE,MHH-ES-1,Nilotinib,ABL,2.536269426
MIAPACA2_PANCREAS,MIA PaCa-2,Nilotinib,ABL,8.0
MINO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Mino,Nilotinib,ABL,8.0
MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MJ,Nilotinib,ABL,8.0
MKN45_STOMACH,MKN-45,Nilotinib,ABL,8.0
MKN7_STOMACH,MKN7,Nilotinib,ABL,8.0
MKN74_STOMACH,MKN74,Nilotinib,ABL,8.0
MOGGCCM_CENTRAL_NERVOUS_SYSTEM,MOG-G-CCM,Nilotinib,ABL,8.0
MOLP8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MOLP-8,Nilotinib,ABL,8.0
MOLT16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MOLT-16,Nilotinib,ABL,2.131068909
MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MONO-MAC-1,Nilotinib,ABL,3.887146473
MPP89_PLEURA,MPP 89,Nilotinib,ABL,8.0
MSTO211H_PLEURA,MSTO-211H,Nilotinib,ABL,5.937797546
NCIH1048_LUNG,NCI-H1048,Nilotinib,ABL,8.0
NCIH1092_LUNG,NCI-H1092,Nilotinib,ABL,8.0
NCIH1184_LUNG,NCI-H1184,Nilotinib,ABL,8.0
NCIH1339_LUNG,NCI-H1339,Nilotinib,ABL,7.78498888
NCIH1341_LUNG,NCI-H1341,Nilotinib,ABL,8.0
NCIH1355_LUNG,NCI-H1355,Nilotinib,ABL,8.0
NCIH1373_LUNG,NCI-H1373,Nilotinib,ABL,8.0
NCIH1563_LUNG,NCI-H1563,Nilotinib,ABL,8.0
NCIH1568_LUNG,NCI-H1568,Nilotinib,ABL,8.0
NCIH1573_LUNG,NCI-H1573,Nilotinib,ABL,8.0
NCIH1581_LUNG,NCI-H1581,Nilotinib,ABL,8.0
NCIH1648_LUNG,NCI-H1648,Nilotinib,ABL,5.590958595
NCIH1650_LUNG,NCI-H1650,Nilotinib,ABL,8.0
NCIH1651_LUNG,NCI-H1651,Nilotinib,ABL,8.0
NCIH1666_LUNG,NCI-H1666,Nilotinib,ABL,7.710957527
NCIH1693_LUNG,NCI-H1693,Nilotinib,ABL,8.0
NCIH1694_LUNG,NCI-H1694,Nilotinib,ABL,8.0
NCIH1792_LUNG,NCI-H1792,Nilotinib,ABL,8.0
NCIH1793_LUNG,NCI-H1793,Nilotinib,ABL,8.0
NCIH1869_LUNG,NCI-H1869,Nilotinib,ABL,8.0
NCIH1915_LUNG,NCI-H1915,Nilotinib,ABL,8.0
NCIH1944_LUNG,NCI-H1944,Nilotinib,ABL,8.0
NCIH1975_LUNG,NCI-H1975,Nilotinib,ABL,8.0
NCIH2009_LUNG,NCI-H2009,Nilotinib,ABL,8.0
NCIH2023_LUNG,NCI-H2023,Nilotinib,ABL,4.014651299
NCIH2030_LUNG,NCI-H2030,Nilotinib,ABL,8.0
NCIH2052_PLEURA,NCI-H2052,Nilotinib,ABL,8.0
NCIH2085_LUNG,NCI-H2085,Nilotinib,ABL,8.0
NCIH2087_LUNG,NCI-H2087,Nilotinib,ABL,6.089197159
NCIH211_LUNG,NCI-H211,Nilotinib,ABL,6.046969891
NCIH2122_LUNG,NCI-H2122,Nilotinib,ABL,7.855627537
NCIH2170_LUNG,NCI-H2170,Nilotinib,ABL,3.32824254
NCIH2172_LUNG,NCI-H2172,Nilotinib,ABL,8.0
NCIH2228_LUNG,NCI-H2228,Nilotinib,ABL,8.0
NCIH226_LUNG,NCI-H226,Nilotinib,ABL,8.0
NCIH2286_LUNG,NCI-H2286,Nilotinib,ABL,2.386837244
NCIH23_LUNG,NCI-H23,Nilotinib,ABL,7.43892622
NCIH2444_LUNG,NCI-H2444,Nilotinib,ABL,8.0
NCIH2452_PLEURA,NCI-H2452,Nilotinib,ABL,8.0
NCIH28_PLEURA,NCI-H28,Nilotinib,ABL,8.0
NCIH322_LUNG,NCI-H322,Nilotinib,ABL,8.0
NCIH3255_LUNG,NCI-H3255,Nilotinib,ABL,7.134063244
NCIH358_LUNG,NCI-H358,Nilotinib,ABL,8.0
NCIH441_LUNG,NCI-H441,Nilotinib,ABL,8.0
NCIH520_LUNG,NCI-H520,Nilotinib,ABL,8.0
NCIH522_LUNG,NCI-H522,Nilotinib,ABL,8.0
NCIH647_LUNG,NCI-H647,Nilotinib,ABL,8.0
NCIH650_LUNG,NCI-H650,Nilotinib,ABL,8.0
NCIH661_LUNG,NCI-H661,Nilotinib,ABL,8.0
NCIH727_LUNG,NCI-H727,Nilotinib,ABL,8.0
NCIH747_LARGE_INTESTINE,NCI-H747,Nilotinib,ABL,8.0
NCIH810_LUNG,NCI-H810,Nilotinib,ABL,5.777545452
NCIN87_STOMACH,NCI-N87,Nilotinib,ABL,3.743279696
NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NCO2,Nilotinib,ABL,0.00760066
NIHOVCAR3_OVARY,NIH:OVCAR-3,Nilotinib,ABL,8.0
NUGC3_STOMACH,NUGC-3,Nilotinib,ABL,8.0
NUGC4_STOMACH,NUGC-4,Nilotinib,ABL,4.356728077
OC314_OVARY,OC 314,Nilotinib,ABL,8.0
OC315_OVARY,OC 315,Nilotinib,ABL,8.0
OC316_OVARY,OC 316,Nilotinib,ABL,8.0
OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCI-AML2,Nilotinib,ABL,6.798111916
OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCI-AML5,Nilotinib,ABL,7.265676975
OCUM1_STOMACH,OCUM-1,Nilotinib,ABL,8.0
OE21_OESOPHAGUS,OE21,Nilotinib,ABL,0.464579643
OE33_OESOPHAGUS,OE33,Nilotinib,ABL,8.0
ONCODG1_OVARY,ONCO-DG-1,Nilotinib,ABL,8.0
ONS76_CENTRAL_NERVOUS_SYSTEM,ONS-76,Nilotinib,ABL,8.0
OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OPM-2,Nilotinib,ABL,8.0
OV90_OVARY,OV-90,Nilotinib,ABL,6.70353508
OVCAR4_OVARY,OVCAR-4,Nilotinib,ABL,8.0
OVCAR8_OVARY,OVCAR-8,Nilotinib,ABL,7.570580006
OVMANA_OVARY,OVMANA,Nilotinib,ABL,8.0
OVSAHO_OVARY,OVSAHO,Nilotinib,ABL,8.0
OVTOKO_OVARY,OVTOKO,Nilotinib,ABL,8.0
P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,P12-ICHIKAWA,Nilotinib,ABL,8.0
P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,P31/FUJ,Nilotinib,ABL,8.0
P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,P3HR-1,Nilotinib,ABL,8.0
PANC0203_PANCREAS,Panc 02.03,Nilotinib,ABL,8.0
PANC0327_PANCREAS,Panc 03.27,Nilotinib,ABL,8.0
PANC0403_PANCREAS,Panc 04.03,Nilotinib,ABL,8.0
PANC1005_PANCREAS,Panc 10.05,Nilotinib,ABL,8.0
PC3_PROSTATE,PC-3,Nilotinib,ABL,8.0
PFEIFFER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Pfeiffer,Nilotinib,ABL,8.0
PK1_PANCREAS,PK-1,Nilotinib,ABL,8.0
PK45H_PANCREAS,PK-45H,Nilotinib,ABL,8.0
PK59_PANCREAS,PK-59,Nilotinib,ABL,8.0
PL45_PANCREAS,PL45,Nilotinib,ABL,8.0
PLCPRF5_LIVER,PLC/PRF/5,Nilotinib,ABL,7.693918705
RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Raji,Nilotinib,ABL,8.0
REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Reh,Nilotinib,ABL,8.0
RERFGC1B_STOMACH,RERF-GC-1B,Nilotinib,ABL,8.0
RERFLCAI_LUNG,RERF-LC-AI,Nilotinib,ABL,8.0
RERFLCMS_LUNG,RERF-LC-MS,Nilotinib,ABL,8.0
RKN_OVARY,RKN,Nilotinib,ABL,8.0
RKO_LARGE_INTESTINE,RKO,Nilotinib,ABL,8.0
RL952_ENDOMETRIUM,RL95-2,Nilotinib,ABL,8.0
RPMI8402_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,RPMI-8402,Nilotinib,ABL,8.0
RT112_URINARY_TRACT,RT-112,Nilotinib,ABL,8.0
